파일 시스템     크기  사용  가용 사용% 마운트위치
tmpfs           9.5G   26M  9.4G    1% /run
/dev/nvme0n1p3  272G  231G   27G   90% /
tmpfs            48G   41M   47G    1% /dev/shm
tmpfs           5.0M   20K  5.0M    1% /run/lock
efivarfs        256K  123K  129K   49% /sys/firmware/efi/efivars
/dev/sda1       916G  849G   21G   98% /mnt/sda1
/dev/nvme1n1p2  915G  820G   49G   95% /mnt/nvme0n1p2
/dev/nvme0n1p1  1.1G  6.2M  1.1G    1% /boot/efi
/dev/sdc1       932G  924G  8.2G  100% /mnt/sdc1
/dev/nvme0n1p2  643G  610G     0  100% /mnt/nvme1n1p2
tmpfs           9.5G  144K  9.5G    1% /run/user/1000
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7ec18e75cf806612ed2324998806c7b46d8e9ba5da430d6aa2bb92f146f8b520/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/294d60074759e7db39ce6c422798f475e83fb9c87050b518fda689e2e4ac7201/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/3046e0aa6d9b84e20d4eb073860c15b055ad013a99d15e69ef88c255c16ce661/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/5025a3b04c850d10baf0d60b2a14be4d62832b0dfcc8e47f1ad3345374fd8a0e/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/316afc4abfb61fe91c4960676cb40ecfb66ab0c02928f0d16b57f6532ee9e9c5/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/39fbafc20cb9d39d8ef31b8c0e07072935f57982266c957e45970a17cc1dd395/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/1fc4cb983820877ada2a9b56e451e74cc3b7b214cb44c023eeacffc093d06fb1/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/28d132b2c990a930b6f659eacfaff1b8e8cf7133b6c8fa7a9423ce6de3983626/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/a66777df8af876f641d488df8d645036866a28165f2c3b16668249b8154f54e9/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/7e331f5d490ce9e6e292395d9859c65f1f878bade593ab545823746b5a777c14/shm
